product_id,title,category,subcategory,brand,condition,condition_score,original_price,selling_price,usage_months,seller_id,publish_date,status,views,favorites,description
P000001,无品牌 小沙发 全新,家具,小沙发,无品牌,全新,10.0,189,190,25,U002685,2022-11-30,在售,428,69,全新小沙发，使用25个月，保养良好
P000002,无品牌 书桌 全新,家具,书桌,无品牌,全新,10.0,716,710,47,U001702,2020-10-12,在售,390,38,全新书桌，使用47个月，保养良好
P000003,杂牌 显示器 99新,电子产品,显示器,杂牌,99新,9.5,475,410,20,U001326,2023-01-19,在售,164,17,99新显示器，使用20个月，保养良好
P000004,无品牌 篮球 95新,运动器材,篮球,无品牌,95新,9.0,385,290,25,U001193,2023-01-28,在售,123,26,95新篮球，使用25个月，保养良好
P000005,杂牌 背包 95新,服饰鞋包,背包,杂牌,95新,9.0,409,310,16,U001567,2020-10-06,已下架,382,100,95新背包，使用16个月，保养良好
P000006,其他 小家电 7成新,生活用品,小家电,其他,7成新,6.0,105,40,37,U000102,2022-11-23,已售出,238,47,7成新小家电，使用37个月，保养良好
P000007,无品牌 哑铃 7成新,运动器材,哑铃,无品牌,7成新,6.0,209,80,41,U000343,2021-03-15,在售,116,31,7成新哑铃，使用41个月，保养良好
P000008,无品牌 鞋子 99新,服饰鞋包,鞋子,无品牌,99新,9.5,256,220,31,U002144,2023-11-05,已售出,40,12,99新鞋子，使用31个月，保养良好
P000009,杂牌 羽毛球拍 95新,运动器材,羽毛球拍,杂牌,95新,9.0,429,310,10,U000150,2022-06-21,已售出,456,1,95新羽毛球拍，使用10个月，保养良好
P000010,无品牌 洗漱用品 6成新,生活用品,洗漱用品,无品牌,6成新,5.0,337,110,35,U002048,2022-06-04,已售出,174,29,6成新洗漱用品，使用35个月，保养良好
P000011,其他 口琴 8成新,乐器,口琴,其他,8成新,7.0,489,260,47,U000334,2021-04-04,已售出,368,9,8成新口琴，使用47个月，保养良好
P000012,无品牌 篮球 99新,运动器材,篮球,无品牌,99新,9.5,316,280,11,U000809,2023-02-14,在售,29,6,99新篮球，使用11个月，保养良好
P000013,其他 篮球 6成新,运动器材,篮球,其他,6成新,5.0,318,100,48,U002241,2023-01-05,已售出,14,2,6成新篮球，使用48个月，保养良好
P000014,杂牌 移动电源 7成新,电子产品,移动电源,杂牌,7成新,6.0,500,210,34,U001321,2024-02-12,已售出,298,83,7成新移动电源，使用34个月，保养良好
P000015,杂牌 考研资料 8成新,图书教材,考研资料,杂牌,8成新,7.0,400,190,10,U002927,2022-10-01,已售出,251,59,8成新考研资料，使用10个月，保养良好
P000016,其他 英语学习 7成新,图书教材,英语学习,其他,7成新,6.0,486,210,3,U002148,2023-04-29,在售,172,26,7成新英语学习，使用3个月，保养良好
P000017,杂牌 考研资料 全新,图书教材,考研资料,杂牌,全新,10.0,52,50,4,U000817,2021-03-12,已下架,179,6,全新考研资料，使用4个月，保养良好
P000018,杂牌 显示器 8成新,电子产品,显示器,杂牌,8成新,7.0,130,60,41,U002291,2021-12-07,已售出,331,1,8成新显示器，使用41个月，保养良好
P000019,杂牌 英语学习 6成新,图书教材,英语学习,杂牌,6成新,5.0,494,150,12,U001253,2022-09-23,已售出,488,65,6成新英语学习，使用12个月，保养良好
P000020,其他 围巾 7成新,服饰鞋包,围巾,其他,7成新,6.0,153,60,10,U000422,2021-11-18,已售出,101,16,7成新围巾，使用10个月，保养良好
P000021,无品牌 外套 6成新,服饰鞋包,外套,无品牌,6成新,5.0,317,100,25,U001353,2023-11-23,已售出,423,121,6成新外套，使用25个月，保养良好
P000022,无品牌 考研资料 6成新,图书教材,考研资料,无品牌,6成新,5.0,168,60,2,U002519,2021-06-28,在售,94,30,6成新考研资料，使用2个月，保养良好
P000023,杂牌 书桌 全新,家具,书桌,杂牌,全新,10.0,253,220,29,U001743,2024-05-24,已下架,177,19,全新书桌，使用29个月，保养良好
P000024,无品牌 裤子 99新,服饰鞋包,裤子,无品牌,99新,9.5,336,280,25,U002893,2023-04-30,已售出,169,53,99新裤子，使用25个月，保养良好
P000025,其他 背包 全新,服饰鞋包,背包,其他,全新,10.0,359,360,11,U002596,2022-03-23,在售,440,111,全新背包，使用11个月，保养良好
