transaction_id,product_id,seller_id,buyer_id,transaction_date,selling_price,final_price,discount_rate,status,location,payment_method
T000001,P005531,U002492,U000868,2021-07-13 00:00:00,40,40,0.0,已取消,体育馆,现金
T000002,P002076,U002443,U000352,2021-09-01 00:00:00,220,200,9.09,已完成,快递站,微信
T000003,P004616,U001312,U000794,2023-07-04 00:00:00,50,50,0.0,已完成,图书馆门口,银行卡
T000004,P002047,U002519,U002546,2023-09-06 00:00:00,330,320,3.03,退款中,图书馆门口,现金
T000005,P005609,U000399,U002489,2023-02-22 00:00:00,30,30,0.0,已完成,体育馆,支付宝
T000006,P004569,U002163,U001185,2024-05-11 00:00:00,170,170,0.0,已完成,教学楼,银行卡
T000007,P005601,U002876,U001216,2022-11-13 00:00:00,100,90,10.0,已完成,图书馆门口,支付宝
T000008,P005272,U001135,U000966,2021-02-22 00:00:00,90,90,0.0,已完成,图书馆门口,支付宝
T000009,P006607,U000045,U002898,2022-10-24 00:00:00,150,140,6.67,已完成,线上交易,银行卡
T000010,P002762,U001842,U002177,2022-12-18 00:00:00,70,70,0.0,已完成,线上交易,支付宝
T000011,P006223,U000882,U001126,2022-10-02 00:00:00,90,90,0.0,已完成,体育馆,支付宝
T000012,P006270,U002999,U001779,2023-09-19 00:00:00,120,110,8.33,已完成,食堂,支付宝
T000013,P001303,U001004,U002999,2023-01-24 00:00:00,40,40,0.0,退款中,教学楼,支付宝
T000014,P002212,U000424,U001914,2021-05-21 00:00:00,3550,3200,9.86,已取消,线上交易,支付宝
T000015,P007267,U002197,U000832,2021-12-24 00:00:00,100,90,10.0,已完成,图书馆门口,支付宝
T000016,P003901,U000786,U002605,2022-07-01 00:00:00,380,370,2.63,已完成,快递站,支付宝
T000017,P001729,U000011,U001195,2021-10-21 00:00:00,70,60,14.29,已完成,宿舍楼下,现金
T000018,P006966,U000627,U000862,2021-04-26 00:00:00,130,130,0.0,退款中,线上交易,银行卡
T000019,P005518,U002129,U000533,2021-01-15 00:00:00,80,80,0.0,已完成,线上交易,微信
T000020,P000597,U000725,U001549,2021-10-18 00:00:00,190,170,10.53,已完成,线上交易,现金
T000021,P005162,U000735,U002104,2022-02-19 00:00:00,60,60,0.0,退款中,线上交易,现金
T000022,P007390,U002280,U000483,2020-11-15 00:00:00,70,70,0.0,已完成,食堂,支付宝
T000023,P000323,U001863,U002791,2022-12-15 00:00:00,2420,2240,7.44,已取消,食堂,银行卡
T000024,P007912,U000158,U002098,2021-05-25 00:00:00,340,340,0.0,已完成,校门口,微信
T000025,P000126,U000933,U000540,2023-04-19 00:00:00,60,60,0.0,已完成,校门口,微信
T000026,P004660,U001936,U000195,2022-08-07 00:00:00,200,190,5.0,已取消,宿舍楼下,支付宝
T000027,P004306,U001038,U000343,2022-05-16 00:00:00,130,120,7.69,已完成,线上交易,现金
T000028,P001611,U000595,U001046,2022-10-18 00:00:00,80,70,12.5,退款中,教学楼,银行卡
T000029,P005854,U000343,U001567,2023-03-21 00:00:00,80,70,12.5,已完成,食堂,支付宝
T000030,P003974,U002830,U000829,2021-05-30 00:00:00,50,50,0.0,已完成,线上交易,支付宝
T000031,P004004,U001227,U000364,2022-09-30 00:00:00,120,110,8.33,已完成,教学楼,银行卡
T000032,P007693,U002798,U000421,2020-10-15 00:00:00,2040,1970,3.43,已取消,线上交易,银行卡
T000033,P001452,U002421,U002271,2024-02-08 00:00:00,70,60,14.29,退款中,宿舍楼下,支付宝
T000034,P006671,U001754,U002303,2023-12-15 00:00:00,100,100,0.0,已完成,体育馆,现金
T000035,P004419,U001786,U002713,2021-08-19 00:00:00,200,190,5.0,已完成,食堂,银行卡
T000036,P003887,U000127,U001004,2022-05-14 00:00:00,940,900,4.26,已完成,图书馆门口,银行卡
T000037,P000027,U000876,U001630,2024-02-22 00:00:00,110,100,9.09,已完成,线上交易,微信
T000038,P001727,U000886,U000112,2021-04-01 00:00:00,150,150,0.0,退款中,食堂,银行卡
T000039,P006900,U000661,U002070,2021-06-22 00:00:00,90,90,0.0,已完成,食堂,现金
T000040,P007978,U000552,U002659,2022-08-25 00:00:00,80,70,12.5,已完成,体育馆,银行卡
T000041,P005062,U000161,U000610,2020-10-17 00:00:00,2090,2070,0.96,退款中,快递站,银行卡
T000042,P002431,U002901,U000971,2021-10-03 00:00:00,50,50,0.0,已取消,快递站,支付宝
T000043,P001420,U000805,U001533,2024-02-20 00:00:00,100,100,0.0,已取消,快递站,支付宝
T000044,P006512,U001863,U000263,2024-06-04 00:00:00,100,90,10.0,已完成,校门口,支付宝
