user_id,username,university,enrollment_year,grade,register_date,credit_score,total_transactions,total_sales
U000001,user_93810,清华大学,2018,研三,2021-10-01,75,0,0
U000002,user_39256,复旦大学,2023,大二,2023-10-23,94,0,0
U000003,user_21395,四川大学,2021,大四,2021-11-05,61,0,0
U000004,user_22280,上海交通大学,2019,研二,2022-07-01,98,0,0
U000005,user_13478,中山大学,2019,研二,2023-09-06,94,0,0
U000006,user_64987,上海交通大学,2021,大四,2023-03-24,60,0,0
U000007,user_30926,哈尔滨工业大学,2021,大四,2023-07-29,77,0,0
U000008,user_30379,上海交通大学,2020,研一,2021-03-29,65,0,0
U000009,user_59797,清华大学,2020,研一,2022-08-06,98,0,0
U000010,user_44671,同济大学,2018,研三,2023-10-26,94,0,0
U000011,user_26361,天津大学,2021,大四,2022-02-09,95,0,0
U000012,user_48427,东南大学,2023,大二,2024-03-04,96,0,0
U000013,user_35203,哈尔滨工业大学,2018,研三,2019-03-07,74,0,0
U000014,user_47930,清华大学,2019,研二,2020-03-25,84,0,0
U000015,user_46434,华中科技大学,2023,大二,2024-03-05,70,0,0
U000016,user_58520,南京大学,2019,研二,2023-06-04,77,0,0
U000017,user_99593,西安交通大学,2018,研三,2020-08-01,94,0,0
U000018,user_42087,复旦大学,2021,大四,2023-10-18,77,0,0
U000019,user_93886,哈尔滨工业大学,2022,大三,2023-04-13,80,0,0
U000020,user_17331,上海交通大学,2018,研三,2022-03-16,85,0,0
U000021,user_45093,清华大学,2019,研二,2022-11-05,80,0,0
U000022,user_37869,西安交通大学,2021,大四,2023-11-20,89,0,0
U000023,user_28726,浙江大学,2019,研二,2021-01-18,95,0,0
U000024,user_80644,浙江大学,2023,大二,2024-06-26,87,0,0
U000025,user_86484,武汉大学,2020,研一,2021-11-24,68,0,0
U000026,user_76784,华中科技大学,2018,研三,2019-03-12,67,0,0
U000027,user_30033,西安交通大学,2019,研二,2024-02-09,87,0,0
U000028,user_88172,清华大学,2021,大四,2023-10-22,98,0,0
U000029,user_71348,中山大学,2020,研一,2023-10-09,60,0,0
U000030,user_99166,哈尔滨工业大学,2018,研三,2021-08-28,81,0,0
U000031,user_24621,浙江大学,2021,大四,2022-07-21,89,0,0
U000032,user_10425,哈尔滨工业大学,2023,大二,2024-01-13,92,0,0
U000033,user_33416,中山大学,2018,研三,2022-01-05,100,0,0
U000034,user_76540,四川大学,2019,研二,2020-07-10,83,0,0
U000035,user_31174,中山大学,2022,大三,2022-09-01,98,0,0
U000036,user_52487,华中科技大学,2018,研三,2019-12-03,83,0,0
U000037,user_50306,上海交通大学,2018,研三,2021-05-14,96,0,0
U000038,user_20322,清华大学,2023,大二,2024-05-06,64,0,0
U000039,user_79822,同济大学,2019,研二,2020-05-20,90,0,0
U000040,user_82063,复旦大学,2020,研一,2023-08-17,98,0,0
U000041,user_65461,上海交通大学,2022,大三,2023-03-25,79,0,0
U000042,user_62296,西安交通大学,2023,大二,2024-03-10,88,0,0
U000043,user_77839,华中科技大学,2018,研三,2021-06-12,74,0,0
U000044,user_18392,南京大学,2018,研三,2021-03-31,97,0,0
U000045,user_38864,北京大学,2018,研三,2019-04-30,74,0,0
U000046,user_18834,天津大学,2018,研三,2022-05-16,64,0,0
U000047,user_77391,上海交通大学,2020,研一,2024-06-02,91,0,0
U000048,user_38080,中山大学,2019,研二,2023-09-21,96,0,0
U000049,user_85525,华中科技大学,2019,研二,2024-01-24,90,0,0
U000050,user_63354,上海交通大学,2018,研三,2019-10-03,87,0,0
U000051,user_56438,武汉大学,2021,大四,2024-04-14,63,0,0
U000052,user_98259,西安交通大学,2023,大二,2023-10-21,63,0,0
U000053,user_62772,哈尔滨工业大学,2020,研一,2021-04-12,75,0,0
U000054,user_35112,上海交通大学,2022,大三,2023-12-04,68,0,0
U000055,user_65296,复旦大学,2020,研一,2023-04-06,75,0,0
U000056,user_19880,华中科技大学,2022,大三,2022-12-10,63,0,0
U000057,user_95477,中山大学,2018,研三,2019-09-18,75,0,0
U000058,user_31798,武汉大学,2021,大四,2024-05-13,73,0,0
U000059,user_62565,天津大学,2018,研三,2020-07-06,84,0,0
U000060,user_10282,武汉大学,2020,研一,2023-03-21,78,0,0
U000061,user_65444,哈尔滨工业大学,2023,大二,2024-06-11,91,0,0
U000062,user_30289,上海交通大学,2020,研一,2021-11-20,63,0,0
U000063,user_85914,哈尔滨工业大学,2022,大三,2022-11-02,80,0,0
U000064,user_17492,北京大学,2022,大三,2024-01-02,92,0,0
U000065,user_79615,复旦大学,2018,研三,2024-05-12,65,0,0
U000066,user_34356,清华大学,2022,大三,2022-11-09,75,0,0
U000067,user_62923,清华大学,2022,大三,2023-05-11,97,0,0
U000068,user_87924,北京大学,2022,大三,2022-11-23,86,0,0
U000069,user_96163,四川大学,2022,大三,2024-02-18,80,0,0
U000070,user_44179,上海交通大学,2023,大二,2024-02-08,75,0,0
U000071,user_44814,武汉大学,2019,研二,2023-06-07,79,0,0
U000072,user_69929,南京大学,2018,研三,2018-10-09,89,0,0
U000073,user_91416,四川大学,2018,研三,2019-06-28,94,0,0
U000074,user_37938,中山大学,2020,研一,2021-05-30,82,0,0
U000075,user_19016,天津大学,2019,研二,2021-09-26,78,0,0
U000076,user_30676,华中科技大学,2022,大三,2023-07-07,99,0,0
U000077,user_95717,中山大学,2018,研三,2022-01-09,66,0,0
U000078,user_27601,浙江大学,2018,研三,2019-11-13,95,0,0
U000079,user_30374,浙江大学,2020,研一,2024-01-22,73,0,0
U000080,user_54942,上海交通大学,2023,大二,2024-01-14,92,0,0
U000081,user_74032,浙江大学,2018,研三,2019-09-14,100,0,0
U000082,user_65518,东南大学,2020,研一,2020-11-30,60,0,0
U000083,user_53719,同济大学,2019,研二,2023-03-28,76,0,0
U000084,user_31178,哈尔滨工业大学,2021,大四,2024-01-24,95,0,0
U000085,user_11267,清华大学,2018,研三,2020-05-03,94,0,0
U000086,user_14722,东南大学,2020,研一,2023-12-07,95,0,0
U000087,user_29410,武汉大学,2019,研二,2019-11-25,79,0,0
U000088,user_57795,天津大学,2018,研三,2022-09-05,73,0,0
U000089,user_99399,上海交通大学,2023,大二,2023-10-23,82,0,0
U000090,user_83385,天津大学,2021,大四,2022-07-14,75,0,0
U000091,user_31299,同济大学,2019,研二,2021-12-23,61,0,0
U000092,user_33509,哈尔滨工业大学,2020,研一,2022-12-23,75,0,0
U000093,user_44970,复旦大学,2023,大二,2023-10-26,84,0,0
U000094,user_15075,东南大学,2021,大四,2022-11-30,72,0,0
U000095,user_70332,南京大学,2020,研一,2021-12-11,74,0,0
U000096,user_13101,西安交通大学,2019,研二,2021-11-25,81,0,0
U000097,user_46517,东南大学,2018,研三,2021-10-18,82,0,0
U000098,user_94080,中山大学,2021,大四,2023-07-11,61,0,0
U000099,user_25118,天津大学,2020,研一,2021-09-01,97,0,0
U000100,user_44795,北京大学,2018,研三,2023-07-16,82,0,0
U000101,user_51114,武汉大学,2022,大三,2024-02-06,67,0,0
U000102,user_60488,天津大学,2022,大三,2023-03-14,76,0,0
U000103,user_15817,哈尔滨工业大学,2021,大四,2021-09-04,93,0,0
U000104,user_80575,西安交通大学,2023,大二,2023-12-10,83,0,0
U000105,user_66531,清华大学,2023,大二,2024-02-17,99,0,0
U000106,user_51145,西安交通大学,2018,研三,2022-01-13,92,0,0
U000107,user_50538,西安交通大学,2021,大四,2023-07-01,85,0,0
U000108,user_48752,中山大学,2019,研二,2020-09-27,86,0,0
U000109,user_97153,武汉大学,2023,大二,2023-11-29,99,0,0
U000110,user_84593,浙江大学,2021,大四,2021-09-01,79,0,0
U000111,user_47606,上海交通大学,2021,大四,2023-06-22,89,0,0
U000112,user_67905,华中科技大学,2023,大二,2023-12-19,92,0,0
U000113,user_72021,同济大学,2023,大二,2023-11-26,65,0,0
U000114,user_47196,中山大学,2023,大二,2024-02-19,65,0,0
U000115,user_40784,西安交通大学,2020,研一,2021-12-05,72,0,0
U000116,user_29313,北京大学,2018,研三,2021-05-30,90,0,0
U000117,user_90120,东南大学,2018,研三,2023-10-10,86,0,0
U000118,user_92544,四川大学,2019,研二,2023-09-11,84,0,0
U000119,user_74799,武汉大学,2019,研二,2020-06-29,60,0,0
U000120,user_23970,同济大学,2021,大四,2022-11-23,71,0,0
U000121,user_77889,华中科技大学,2018,研三,2021-06-17,67,0,0
U000122,user_69829,复旦大学,2021,大四,2023-06-12,88,0,0
U000123,user_90301,东南大学,2023,大二,2024-05-16,87,0,0
U000124,user_81810,华中科技大学,2019,研二,2023-11-02,90,0,0
U000125,user_68991,浙江大学,2019,研二,2024-05-17,100,0,0
U000126,user_46347,同济大学,2022,大三,2024-01-10,100,0,0
U000127,user_41358,浙江大学,2021,大四,2022-02-06,78,0,0
U000128,user_40735,浙江大学,2020,研一,2022-06-17,94,0,0
U000129,user_20561,复旦大学,2019,研二,2020-12-17,84,0,0
U000130,user_30028,哈尔滨工业大学,2019,研二,2020-01-10,86,0,0
U000131,user_63424,南京大学,2022,大三,2023-12-22,86,0,0
U000132,user_18161,上海交通大学,2021,大四,2023-11-07,97,0,0
U000133,user_12560,东南大学,2022,大三,2023-09-25,90,0,0
U000134,user_10772,南京大学,2020,研一,2022-11-08,86,0,0
U000135,user_80545,哈尔滨工业大学,2023,大二,2024-06-06,98,0,0
U000136,user_38906,华中科技大学,2019,研二,2021-03-12,87,0,0
U000137,user_73654,北京大学,2021,大四,2023-07-21,85,0,0
U000138,user_31632,东南大学,2021,大四,2022-05-20,99,0,0
U000139,user_80008,北京大学,2021,大四,2021-10-26,65,0,0
U000140,user_94246,武汉大学,2019,研二,2022-04-03,71,0,0
U000141,user_16590,浙江大学,2021,大四,2023-07-03,73,0,0
U000142,user_69598,南京大学,2020,研一,2022-10-17,77,0,0
U000143,user_65255,浙江大学,2018,研三,2023-12-10,61,0,0
U000144,user_80702,北京大学,2020,研一,2021-12-04,64,0,0
U000145,user_95426,北京大学,2018,研三,2021-06-09,72,0,0
U000146,user_12671,四川大学,2019,研二,2021-01-01,68,0,0
U000147,user_72070,西安交通大学,2018,研三,2021-02-09,89,0,0
U000148,user_43586,同济大学,2020,研一,2021-08-10,98,0,0
U000149,user_89593,哈尔滨工业大学,2023,大二,2023-10-29,70,0,0
U000150,user_50768,清华大学,2022,大三,2022-09-27,79,0,0
U000151,user_85470,西安交通大学,2021,大四,2023-11-22,72,0,0
U000152,user_19961,四川大学,2023,大二,2024-01-03,66,0,0
U000153,user_49529,东南大学,2023,大二,2023-11-01,96,0,0
U000154,user_15383,南京大学,2022,大三,2023-11-13,83,0,0
U000155,user_19038,中山大学,2023,大二,2024-02-22,60,0,0
U000156,user_65057,东南大学,2021,大四,2022-04-05,87,0,0
U000157,user_57472,西安交通大学,2021,大四,2022-07-11,87,0,0
U000158,user_33086,哈尔滨工业大学,2022,大三,2024-06-28,77,0,0
